0,1360,2840,1558,661,835,286,1233,211,1396,788,1131,1437,442
1360,0,2708,198,1896,967,1361,1914,1162,2077,2079,1911,2727,1357
2840,2708,0,2683,2698,2118,2574,2354,2666,2517,3088,3620,3736,2428
1558,198,2683,0,1870,941,1356,1888,1339,2052,2139,2087,2787,1331
661,1896,2698,1870,0,958,598,683,765,880,434,1692,1082,545
835,967,2118,941,958,0,570,949,662,1112,1232,1616,1880,424
286,1361,2574,1356,598,570,0,967,233,1131,773,1197,1421,177
1233,1914,2354,1888,683,949,967,0,1192,201,1110,2156,1758,800
211,1162,2666,1339,765,662,233,1192,0,1353,916,963,1565,400
1396,2077,2517,2052,880,1112,1131,201,1353,0,1306,2320,1955,964
788,2079,3088,2139,434,1232,773,1110,916,1306,0,1843,660,816
1131,1911,3620,2087,1692,1616,1197,2156,963,2320,1843,0,2494,1367
1437,2727,3736,2787,1082,1880,1421,1758,1565,1955,660,2494,0,1464
442,1357,2428,1331,545,424,177,800,400,964,816,1367,1464,0